Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.653,-0.078,-0.353,0.628
0.656,-0.078,-0.353,0.628
0.659,-0.078,-0.353,0.628
0.662,-1.648,-0.981,1.059
0.665,-1.648,-0.981,1.059
0.668,-1.648,-0.981,1.059
0.671,0.549,1.059,0.157
0.674,0.549,1.059,0.157
0.677,0.549,1.059,0.157
0.68,0.549,1.059,0.157
0.684,-0.157,-0.157,0.824
0.687,-0.157,-0.157,0.824
0.689,-0.157,-0.157,0.824
0.692,-1.177,4.746,1.804
0.695,-1.177,4.746,1.804
0.698,-1.177,4.746,1.804
0.701,-3.452,10.356,1.53
0.704,-3.452,10.356,1.53
0.707,-3.452,10.356,1.53
0.71,-0.471,3.295,0.314
0.713,-0.471,3.295,0.314
0.716,-0.471,3.295,0.314
0.719,-0.471,3.295,0.314
0.722,-7.532,-0.628,14.906
0.726,-7.532,-0.628,14.906
0.729,-7.532,-0.628,14.906
0.732,-22.281,-6.904,116.935
0.735,-22.281,-6.904,116.935
0.739,-22.281,-6.904,116.935
0.742,-72.608,-27.341,158.711
0.745,-72.608,-27.341,158.711
0.748,-72.608,-27.341,158.711
0.751,-32.597,-104.931,75.276
0.754,-32.597,-104.931,75.276
0.758,-32.597,-104.931,75.276
0.761,28.047,-24.164,-52.956
0.764,28.047,-24.164,-52.956
0.768,28.047,-24.164,-52.956
0.771,-15.377,-15.573,62.763
0.774,-15.377,-15.573,62.763
0.777,-15.377,-15.573,62.763
0.78,-1.804,10.199,15.848
0.784,-1.804,10.199,15.848
0.787,-1.804,10.199,15.848
0.79,-1.804,10.199,15.848
0.793,-1.294,11.18,12.592
0.796,-1.294,11.18,12.592
0.799,-1.294,11.18,12.592
0.802,-6.433,13.886,13.337
0.805,-6.433,13.886,13.337
0.808,-6.433,13.886,13.337
0.812,-2.236,14.553,8.708
0.815,-2.236,14.553,8.708
0.818,-2.236,14.553,8.708
0.821,-2.511,7.885,-0.039
0.824,-2.511,7.885,-0.039
0.827,-2.511,7.885,-0.039
0.83,-0.275,1.138,-0.431
0.833,-0.275,1.138,-0.431
0.836,-0.275,1.138,-0.431
0.839,-0.275,1.138,-0.431
0.842,0.157,-2.667,2.628
0.845,0.157,-2.667,2.628
0.848,0.157,-2.667,2.628
0.851,2.04,0.902,-1.883
0.855,2.04,0.902,-1.883
0.858,2.04,0.902,-1.883
0.861,0.235,-0.941,-1.138
0.864,0.235,-0.941,-1.138
0.867,0.235,-0.941,-1.138
0.87,0.235,-0.941,-1.138
0.873,-0.667,-1.491,-0.706
0.876,-0.667,-1.491,-0.706
0.879,-0.667,-1.491,-0.706
0.882,-0.863,-1.177,-0.196
0.885,-0.863,-1.177,-0.196
0.888,-0.863,-1.177,-0.196
0.891,-2.824,-1.53,0.314
0.894,-2.824,-1.53,0.314
0.898,-2.824,-1.53,0.314
0.901,-2.197,-0.078,1.177
0.903,-2.197,-0.078,1.177
0.906,-2.197,-0.078,1.177
0.909,-2.197,-0.078,1.177
0.912,-0.157,-1.255,-1.294
0.915,-0.157,-1.255,-1.294
0.918,-0.157,-1.255,-1.294
0.921,-1.687,1.138,1.961
0.924,-1.687,1.138,1.961
0.927,-1.687,1.138,1.961
0.93,0.667,3.923,1.726
0.933,0.667,3.923,1.726
0.936,0.667,3.923,1.726
0.94,-3.57,-5.649,4.08
0.943,-3.57,-5.649,4.08
0.946,-3.57,-5.649,4.08
0.949,-3.57,-5.649,4.08
0.952,-0.118,-13.455,1.687
0.955,-0.118,-13.455,1.687
0.958,-0.118,-13.455,1.687
0.961,-0.824,-12.356,3.217
0.964,-0.824,-12.356,3.217
0.967,-0.824,-12.356,3.217
0.97,-1.255,-5.139,5.099
0.973,-1.255,-5.139,5.099
0.976,-1.255,-5.139,5.099
0.979,-0.118,-0.431,4.786
0.983,-0.118,-0.431,4.786
0.986,-0.118,-0.431,4.786
0.989,-0.118,-0.431,4.786
0.992,0.588,1.177,3.099
0.995,0.588,1.177,3.099
0.998,0.588,1.177,3.099
1.001,-2.197,2.981,11.14
1.004,-2.197,2.981,11.14
1.007,-2.197,2.981,11.14
1.01,-2.236,8.277,17.574
1.013,-2.236,8.277,17.574
1.016,-2.236,8.277,17.574
1.019,-1.844,6.59,25.183
1.022,-1.844,6.59,25.183
1.026,-1.844,6.59,25.183
1.029,-1.844,6.59,25.183
1.032,-3.923,5.727,31.303
1.035,-3.923,5.727,31.303
1.038,-3.923,5.727,31.303
1.041,-5.256,5.452,28.047
1.044,-5.256,5.452,28.047
1.047,-5.256,5.452,28.047
1.05,-7.296,2.707,24.752
1.053,-7.296,2.707,24.752
1.056,-7.296,2.707,24.752
1.059,-6.433,3.177,19.417
1.062,-6.433,3.177,19.417
1.065,-6.433,3.177,19.417
1.069,-2.864,3.727,12.631
1.072,-2.864,3.727,12.631
1.075,-2.864,3.727,12.631
1.078,-2.864,3.727,12.631
1.081,-0.667,-28.596,1.412
1.084,-0.667,-28.596,1.412
1.088,-0.667,-28.596,1.412
1.091,1.883,-21.535,-3.883
1.094,1.883,-21.535,-3.883
1.097,1.883,-21.535,-3.883
1.1,3.609,-3.334,1.53
1.103,3.609,-3.334,1.53
1.106,3.609,-3.334,1.53
1.11,-1.765,2.471,13.376
1.113,-1.765,2.471,13.376
1.116,-1.765,2.471,13.376
1.119,-1.765,2.471,13.376
1.122,-0.275,7.218,16.593
1.125,-0.275,7.218,16.593
1.128,-0.275,7.218,16.593
1.131,-1.02,7.532,15.338
1.134,-1.02,7.532,15.338
1.137,-1.02,7.532,15.338
1.14,-0.745,6.041,10.905
1.143,-0.745,6.041,10.905
1.146,-0.745,6.041,10.905
1.149,-0.392,2.511,7.453
1.153,-0.392,2.511,7.453
1.156,-0.392,2.511,7.453
1.159,-0.078,0.745,5.766
1.162,-0.078,0.745,5.766
1.165,-0.078,0.745,5.766
1.168,-0.078,0.745,5.766
1.171,-0.392,-2.824,6.825
1.174,-0.392,-2.824,6.825
1.177,-0.392,-2.824,6.825
1.18,-0.667,-2.55,8.669
1.183,-0.667,-2.55,8.669
1.186,-0.667,-2.55,8.669
1.189,-1.059,-2.628,11.062
1.192,-1.059,-2.628,11.062
1.196,-1.059,-2.628,11.062
1.199,-1.059,-2.628,11.062
1.202,-0.392,-3.53,11.69
1.205,-0.392,-3.53,11.69
1.208,-0.392,-3.53,11.69
1.211,-0.667,-4.629,11.101
1.214,-0.667,-4.629,11.101
1.217,-0.667,-4.629,11.101
1.22,-0.471,-2.667,10.317
1.223,-0.471,-2.667,10.317
1.226,-0.471,-2.667,10.317
1.229,-0.981,-0.471,9.846
1.232,-0.981,-0.471,9.846
1.235,-0.981,-0.471,9.846
1.239,-0.824,0.392,8.748
1.242,-0.824,0.392,8.748
1.245,-0.824,0.392,8.748
1.248,-0.824,0.392,8.748
1.251,-0.628,0.314,7.728
1.254,-0.628,0.314,7.728
1.257,-0.628,0.314,7.728
1.26,-0.628,-0.628,8.238
1.263,-0.628,-0.628,8.238
1.266,-0.628,-0.628,8.238
1.269,-0.196,-0.588,9.336
1.271,-0.196,-0.588,9.336
1.274,-0.196,-0.588,9.336
1.277,-0.196,-0.588,9.336
1.281,-0.392,-1.451,10.63
1.284,-0.392,-1.451,10.63
1.287,-0.392,-1.451,10.63
1.29,-0.039,-0.863,11.336
1.293,-0.039,-0.863,11.336
1.296,-0.039,-0.863,11.336
1.299,-0.039,-0.51,11.14
1.302,-0.039,-0.51,11.14
1.305,-0.039,-0.51,11.14
1.308,-0.275,-0.549,10.513
1.312,-0.275,-0.549,10.513
1.315,-0.275,-0.549,10.513
1.318,-0.314,-0.706,9.846
1.321,-0.314,-0.706,9.846
1.325,-0.314,-0.706,9.846
1.327,-0.314,-0.706,9.846
1.33,-0.392,-0.353,10.042
1.333,-0.392,-0.353,10.042
1.336,-0.392,-0.353,10.042
1.339,-0.628,0.039,10.63
1.342,-0.628,0.039,10.63
1.345,-0.628,0.039,10.63
1.348,-0.667,-0.275,10.513
1.351,-0.667,-0.275,10.513
1.355,-0.667,-0.275,10.513
1.358,-0.549,-1.255,10.081
1.361,-0.549,-1.255,10.081
1.364,-0.549,-1.255,10.081
1.368,-0.549,-1.255,10.081
1.371,-0.51,-1.648,9.807
1.374,-0.51,-1.648,9.807
1.377,-0.51,-1.648,9.807
1.38,-0.353,-1.334,9.846
1.383,-0.353,-1.334,9.846
1.386,-0.353,-1.334,9.846
1.389,-0.549,-1.294,9.964
1.391,-0.549,-1.294,9.964
1.394,-0.549,-1.294,9.964
1.397,-0.314,-1.02,9.728
1.4,-0.314,-1.02,9.728
1.403,-0.314,-1.02,9.728
1.406,-0.314,-1.02,9.728
1.41,-0.235,-1.02,9.571
1.413,-0.235,-1.02,9.571
1.416,-0.235,-1.02,9.571
1.419,-0.314,-1.059,9.689
1.422,-0.314,-1.059,9.689
1.425,-0.314,-1.059,9.689
1.428,-0.235,-0.981,9.689
1.431,-0.235,-0.981,9.689
1.434,-0.235,-0.981,9.689
1.437,-0.235,-0.981,9.689
1.44,-0.353,-0.863,9.924
1.443,-0.353,-0.863,9.924
1.446,-0.353,-0.863,9.924
1.449,-0.431,-0.785,10.042
1.453,-0.431,-0.785,10.042
1.456,-0.431,-0.785,10.042
1.459,-0.471,-0.549,10.003
1.462,-0.471,-0.549,10.003
1.465,-0.471,-0.549,10.003
1.468,-0.588,-0.275,10.199
1.471,-0.588,-0.275,10.199
1.474,-0.588,-0.275,10.199
1.477,-0.588,-0.275,10.199
1.48,-0.667,-0.157,10.277
1.483,-0.667,-0.157,10.277
1.486,-0.667,-0.157,10.277
1.489,-0.706,-0.431,10.277
1.492,-0.706,-0.431,10.277
1.496,-0.706,-0.431,10.277
1.499,-0.628,-0.824,10.317
1.502,-0.628,-0.824,10.317
1.505,-0.628,-0.824,10.317
1.508,-0.588,-1.098,10.199
1.511,-0.588,-1.098,10.199
1.514,-0.588,-1.098,10.199
1.517,-0.471,-1.138,10.277
1.52,-0.471,-1.138,10.277
1.523,-0.471,-1.138,10.277
1.526,-0.471,-1.138,10.277
1.529,-0.431,-1.059,10.12
1.532,-0.431,-1.059,10.12
1.536,-0.431,-1.059,10.12
1.539,-0.392,-0.863,9.964
1.542,-0.392,-0.863,9.964
1.545,-0.392,-0.863,9.964
1.548,-0.314,-0.824,9.728
1.551,-0.314,-0.824,9.728
1.554,-0.314,-0.824,9.728
1.557,-0.196,-0.745,9.65
1.56,-0.196,-0.745,9.65
1.563,-0.196,-0.745,9.65
1.566,-0.196,-0.745,9.65
1.569,-0.235,-0.785,9.689
1.572,-0.235,-0.785,9.689
1.575,-0.235,-0.785,9.689
1.579,-0.235,-0.902,9.807
1.582,-0.235,-0.902,9.807
1.585,-0.235,-0.902,9.807
1.588,-0.235,-0.981,9.964
1.591,-0.235,-0.981,9.964
1.594,-0.235,-0.981,9.964
1.597,-0.235,-0.981,9.964
1.6,-0.353,-0.981,10.081
1.603,-0.353,-0.981,10.081
1.606,-0.353,-0.981,10.081
1.609,-0.431,-0.941,10.16
1.612,-0.431,-0.941,10.16
1.615,-0.431,-0.941,10.16
1.618,-0.51,-0.824,10.12
1.622,-0.51,-0.824,10.12
1.625,-0.51,-0.824,10.12
1.628,-0.549,-0.785,10.199
1.631,-0.549,-0.785,10.199
1.634,-0.549,-0.785,10.199
1.637,-0.549,-0.785,10.199
1.64,-0.628,-0.745,10.081
1.643,-0.628,-0.745,10.081
1.646,-0.628,-0.745,10.081
1.649,-0.588,-0.785,10.003
1.652,-0.588,-0.785,10.003
1.655,-0.588,-0.785,10.003
1.658,-0.549,-0.863,10.042
1.661,-0.549,-0.863,10.042
1.665,-0.549,-0.863,10.042
1.668,-0.549,-0.863,10.081
1.671,-0.549,-0.863,10.081
1.674,-0.549,-0.863,10.081
1.677,-0.471,-0.863,10.042
1.68,-0.471,-0.863,10.042
1.683,-0.471,-0.863,10.042
1.686,-0.471,-0.863,10.042
1.689,-0.392,-0.863,10.003
1.692,-0.392,-0.863,10.003
1.695,-0.392,-0.863,10.003
1.698,-0.353,-0.863,9.964
1.701,-0.353,-0.863,9.964
1.704,-0.353,-0.863,9.964
1.708,-0.431,-0.785,9.924
1.711,-0.431,-0.785,9.924
1.714,-0.431,-0.785,9.924
1.717,-0.353,-0.667,9.924
1.72,-0.353,-0.667,9.924
1.723,-0.353,-0.667,9.924
1.726,-0.353,-0.667,9.924
1.729,-0.314,-0.667,9.964
1.732,-0.314,-0.667,9.964
1.735,-0.314,-0.667,9.964
1.738,-0.392,-0.745,10.003
1.741,-0.392,-0.745,10.003
1.744,-0.392,-0.745,10.003
1.747,-0.431,-0.902,9.964
1.751,-0.431,-0.902,9.964
1.754,-0.431,-0.902,9.964
1.757,-0.431,-0.902,9.964
1.759,-0.471,-0.981,9.964
1.762,-0.471,-0.981,9.964
1.765,-0.471,-0.981,9.964
1.768,-0.471,-0.941,10.081
1.771,-0.471,-0.941,10.081
1.774,-0.471,-0.941,10.081
1.777,-0.51,-0.981,10.12
1.78,-0.51,-0.981,10.12
1.783,-0.51,-0.981,10.12
1.786,-0.51,-0.941,10.081
1.789,-0.51,-0.941,10.081
1.793,-0.51,-0.941,10.081
1.796,-0.51,-0.941,10.081
1.799,-0.51,-0.941,9.964
1.802,-0.51,-0.941,9.964
1.805,-0.51,-0.941,9.964
1.808,-0.431,-0.902,10.042
1.811,-0.431,-0.902,10.042
1.814,-0.431,-0.902,10.042
1.817,-0.431,-0.785,10.042
1.82,-0.431,-0.785,10.042
1.823,-0.431,-0.785,10.042
1.826,-0.431,-0.785,10.003
1.829,-0.431,-0.785,10.003
1.832,-0.431,-0.785,10.003
1.836,-0.392,-0.785,9.964
1.839,-0.392,-0.785,9.964
1.842,-0.392,-0.785,9.964
1.845,-0.392,-0.785,9.964
1.848,-0.353,-0.785,9.964
1.851,-0.353,-0.785,9.964
1.854,-0.353,-0.785,9.964
1.857,-0.353,-0.824,10.003
1.86,-0.353,-0.824,10.003
1.863,-0.353,-0.824,10.003
1.866,-0.431,-0.706,10.003
1.869,-0.431,-0.706,10.003
1.872,-0.431,-0.706,10.003
1.875,-0.431,-0.706,10.003
1.879,-0.431,-0.824,10.003
1.882,-0.431,-0.824,10.003
1.885,-0.431,-0.824,10.003
1.888,-0.431,-0.785,10.042
1.891,-0.431,-0.785,10.042
1.894,-0.431,-0.785,10.042
1.897,-0.51,-0.824,10.042
1.9,-0.51,-0.824,10.042
1.903,-0.51,-0.824,10.042
1.906,-0.549,-0.824,10.081
1.909,-0.549,-0.824,10.081
1.912,-0.549,-0.824,10.081
1.915,-0.51,-0.863,10.081
1.918,-0.51,-0.863,10.081
1.922,-0.51,-0.863,10.081
1.925,-0.51,-0.863,10.081
1.928,-0.549,-0.941,10.081
1.931,-0.549,-0.941,10.081
1.934,-0.549,-0.941,10.081
1.937,-0.471,-0.902,10.042
1.94,-0.471,-0.902,10.042
1.943,-0.471,-0.902,10.042
1.946,-0.51,-0.863,10.081
1.949,-0.51,-0.863,10.081
1.952,-0.51,-0.863,10.081
1.955,-0.51,-0.863,10.003
1.958,-0.51,-0.863,10.003
1.961,-0.51,-0.863,10.003
1.965,-0.51,-0.863,10.003
1.968,-0.353,-0.824,9.924
1.971,-0.353,-0.824,9.924
1.974,-0.353,-0.824,9.924
1.977,-0.353,-0.824,10.042
1.98,-0.353,-0.824,10.042
1.983,-0.353,-0.824,10.042
1.986,-0.353,-0.824,9.964
1.989,-0.353,-0.824,9.964
1.992,-0.353,-0.824,9.964
1.995,-0.314,-0.824,9.964
1.998,-0.314,-0.824,9.964
2.001,-0.314,-0.824,9.964
2.004,-0.314,-0.824,9.964
2.008,-0.314,-0.824,9.964
2.011,-0.314,-0.824,9.964
2.014,-0.314,-0.824,9.964
2.017,-0.314,-0.785,10.003
2.02,-0.314,-0.785,10.003
2.023,-0.314,-0.785,10.003
2.026,-0.392,-0.824,10.042
2.029,-0.392,-0.824,10.042
2.032,-0.392,-0.824,10.042
2.035,-0.471,-0.824,10.042
2.038,-0.471,-0.824,10.042
2.041,-0.471,-0.824,10.042
2.044,-0.471,-0.824,10.042
2.048,-0.471,-0.863,10.042
2.051,-0.471,-0.863,10.042
2.054,-0.471,-0.863,10.042
2.057,-0.51,-0.863,10.081
2.06,-0.51,-0.863,10.081
2.063,-0.51,-0.863,10.081
2.066,-0.549,-0.863,10.081
2.069,-0.549,-0.863,10.081
2.072,-0.549,-0.863,10.081
2.075,-0.51,-0.863,10.081
2.078,-0.51,-0.863,10.081
2.081,-0.51,-0.863,10.081
2.084,-0.51,-0.863,10.081
2.087,-0.51,-0.824,10.12
2.091,-0.51,-0.824,10.12
2.094,-0.51,-0.824,10.12
2.097,-0.471,-0.785,10.042
2.1,-0.471,-0.785,10.042
2.103,-0.471,-0.785,10.042
2.106,-0.431,-0.785,9.964
2.109,-0.431,-0.785,9.964
2.112,-0.431,-0.785,9.964
2.115,-0.392,-0.785,10.003
2.118,-0.392,-0.785,10.003
2.121,-0.392,-0.785,10.003
2.124,-0.392,-0.785,10.003
2.127,-0.353,-0.785,9.964
2.13,-0.353,-0.785,9.964
2.134,-0.353,-0.785,9.964
2.137,-0.353,-0.745,9.924
2.14,-0.353,-0.745,9.924
2.143,-0.353,-0.745,9.924
2.146,-0.431,-0.824,10.003
2.149,-0.431,-0.824,10.003
2.152,-0.431,-0.824,10.003
2.155,-0.431,-0.824,10.003
2.158,-0.431,-0.824,10.003
2.161,-0.431,-0.824,10.003
2.164,-0.431,-0.824,10.003
2.167,-0.431,-0.824,10.003
2.17,-0.431,-0.824,10.003
2.173,-0.431,-0.824,10.003
2.177,-0.431,-0.824,10.042
2.18,-0.431,-0.824,10.042
2.183,-0.431,-0.824,10.042
2.186,-0.471,-0.902,10.042
2.189,-0.471,-0.902,10.042
2.192,-0.471,-0.902,10.042
2.195,-0.471,-0.941,10.081
2.198,-0.471,-0.941,10.081
2.201,-0.471,-0.941,10.081
2.204,-0.471,-0.941,10.081
2.207,-0.51,-0.902,10.042
2.21,-0.51,-0.902,10.042
2.213,-0.51,-0.902,10.042
2.216,-0.51,-0.824,10.081
2.22,-0.51,-0.824,10.081
2.223,-0.51,-0.824,10.081
2.226,-0.471,-0.863,10.042
2.229,-0.471,-0.863,10.042
2.232,-0.471,-0.863,10.042
2.235,-0.431,-0.863,10.003
2.238,-0.431,-0.863,10.003
2.241,-0.431,-0.863,10.003
2.244,-0.431,-0.863,10.003
2.247,-0.431,-0.824,10.042
2.25,-0.431,-0.824,10.042
2.253,-0.431,-0.824,10.042
2.256,-0.392,-0.785,9.964
2.259,-0.392,-0.785,9.964
2.263,-0.392,-0.785,9.964
2.266,-0.392,-0.745,9.964
2.269,-0.392,-0.745,9.964
2.272,-0.392,-0.745,9.964
2.275,-0.392,-0.785,9.964
2.278,-0.392,-0.785,9.964
2.281,-0.392,-0.785,9.964
2.284,-0.392,-0.785,9.964
2.287,-0.392,-0.785,10.042
2.29,-0.392,-0.785,10.042
2.293,-0.392,-0.785,10.042
2.296,-0.431,-0.824,10.042
2.299,-0.431,-0.824,10.042
2.302,-0.431,-0.824,10.042
2.306,-0.471,-0.824,10.042
2.309,-0.471,-0.824,10.042
2.312,-0.471,-0.824,10.042
2.315,-0.471,-0.863,10.081
2.318,-0.471,-0.863,10.081
2.321,-0.471,-0.863,10.081
2.324,-0.471,-0.863,10.081
2.327,-0.471,-0.824,10.003
2.33,-0.471,-0.824,10.003
2.333,-0.471,-0.824,10.003
2.336,-0.471,-0.902,10.081
2.339,-0.471,-0.902,10.081
2.342,-0.471,-0.902,10.081
2.345,-0.471,-0.863,10.042
2.349,-0.471,-0.863,10.042
2.352,-0.471,-0.863,10.042
2.355,-0.431,-0.863,10.042
2.358,-0.431,-0.863,10.042
2.361,-0.431,-0.863,10.042
2.364,-0.471,-0.902,10.042
2.367,-0.471,-0.902,10.042
2.37,-0.471,-0.902,10.042
2.373,-0.471,-0.902,10.042
2.376,-0.431,-0.824,9.964
2.379,-0.431,-0.824,9.964
2.382,-0.431,-0.824,9.964
2.385,-0.431,-0.824,10.042
2.388,-0.431,-0.824,10.042
2.392,-0.431,-0.824,10.042
2.395,-0.431,-0.785,10.042
2.398,-0.431,-0.785,10.042
2.401,-0.431,-0.785,10.042
2.404,-0.392,-0.824,10.003
2.407,-0.392,-0.824,10.003
2.41,-0.392,-0.824,10.003
2.413,-0.392,-0.824,10.003
2.416,-0.392,-0.824,10.003
2.419,-0.392,-0.824,10.003
2.422,-0.392,-0.824,10.003
2.425,-0.392,-0.745,10.003
2.428,-0.392,-0.745,10.003
2.432,-0.392,-0.745,10.003
2.435,-0.392,-0.824,10.003
2.438,-0.392,-0.824,10.003
2.441,-0.392,-0.824,10.003
2.444,-0.431,-0.824,10.003
2.447,-0.431,-0.824,10.003
2.45,-0.431,-0.824,10.003
2.453,-0.431,-0.824,10.003
2.456,-0.471,-0.863,10.081
2.459,-0.471,-0.863,10.081
2.462,-0.471,-0.863,10.081
2.465,-0.51,-0.824,10.12
2.468,-0.51,-0.824,10.12
2.471,-0.51,-0.824,10.12
2.475,-0.431,-0.902,10.081
2.478,-0.431,-0.902,10.081
2.481,-0.431,-0.902,10.081
2.484,-0.431,-0.902,10.081
2.487,-0.431,-0.902,10.081
2.49,-0.431,-0.902,10.081
2.493,-0.431,-0.902,10.081
2.496,-0.471,-0.785,10.042
2.499,-0.471,-0.785,10.042
2.502,-0.471,-0.785,10.042
2.505,-0.549,-0.863,10.081
