Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2.508,-0.549,-0.863,10.081
2.511,-0.549,-0.863,10.081
2.514,-0.471,-0.863,10.042
2.518,-0.471,-0.863,10.042
2.521,-0.471,-0.863,10.042
2.524,-0.431,-0.824,9.964
2.527,-0.431,-0.824,9.964
2.53,-0.431,-0.824,9.964
2.533,-0.431,-0.824,9.964
2.536,-0.392,-0.785,10.042
2.539,-0.392,-0.785,10.042
2.542,-0.392,-0.785,10.042
2.545,-0.353,-0.785,10.003
2.548,-0.353,-0.785,10.003
2.551,-0.353,-0.785,10.003
2.554,-0.392,-0.785,10.003
2.557,-0.392,-0.785,10.003
2.561,-0.392,-0.785,10.003
2.564,-0.392,-0.824,10.003
2.567,-0.392,-0.824,10.003
2.57,-0.392,-0.824,10.003
2.573,-0.392,-0.824,10.003
2.576,-0.392,-0.824,10.042
2.579,-0.392,-0.824,10.042
2.582,-0.392,-0.824,10.042
2.585,-0.471,-0.824,10.042
2.588,-0.471,-0.824,10.042
2.591,-0.471,-0.824,10.042
2.594,-0.471,-0.863,10.042
2.597,-0.471,-0.863,10.042
2.6,-0.471,-0.863,10.042
2.604,-0.471,-0.824,10.081
2.607,-0.471,-0.824,10.081
2.61,-0.471,-0.824,10.081
2.613,-0.471,-0.824,10.081
2.616,-0.51,-0.824,10.081
2.619,-0.51,-0.824,10.081
2.622,-0.51,-0.824,10.081
2.625,-0.431,-0.824,10.081
2.628,-0.431,-0.824,10.081
2.631,-0.431,-0.824,10.081
2.634,-0.471,-0.863,10.042
2.637,-0.471,-0.863,10.042
2.64,-0.471,-0.863,10.042
2.643,-0.392,-0.902,10.003
2.647,-0.392,-0.902,10.003
2.65,-0.392,-0.902,10.003
2.653,-0.431,-0.902,10.042
2.656,-0.431,-0.902,10.042
2.659,-0.431,-0.902,10.042
2.662,-0.431,-0.902,10.042
2.665,-0.471,-0.785,10.003
2.668,-0.471,-0.785,10.003
2.671,-0.471,-0.785,10.003
2.674,-0.392,-0.824,10.003
2.677,-0.392,-0.824,10.003
2.68,-0.392,-0.824,10.003
2.683,-0.353,-0.785,10.042
2.686,-0.353,-0.785,10.042
2.69,-0.353,-0.785,10.042
2.693,-0.392,-0.824,10.003
2.696,-0.392,-0.824,10.003
2.699,-0.392,-0.824,10.003
2.702,-0.392,-0.824,10.003
2.705,-0.392,-0.863,10.042
2.708,-0.392,-0.863,10.042
2.711,-0.392,-0.863,10.042
2.714,-0.431,-0.824,10.042
2.717,-0.431,-0.824,10.042
2.72,-0.431,-0.824,10.042
2.723,-0.471,-0.785,10.081
2.726,-0.471,-0.785,10.081
2.729,-0.471,-0.785,10.081
2.733,-0.471,-0.824,10.003
2.736,-0.471,-0.824,10.003
2.739,-0.471,-0.824,10.003
2.742,-0.471,-0.824,10.003
2.745,-0.471,-0.863,10.081
2.748,-0.471,-0.863,10.081
2.751,-0.471,-0.863,10.081
2.754,-0.471,-0.824,10.042
2.757,-0.471,-0.824,10.042
2.76,-0.471,-0.824,10.042
2.763,-0.471,-0.824,10.042
2.766,-0.471,-0.824,10.042
2.769,-0.471,-0.824,10.042
2.772,-0.471,-0.902,10.042
2.776,-0.471,-0.902,10.042
2.779,-0.471,-0.902,10.042
2.782,-0.471,-0.902,10.042
2.785,-0.471,-0.824,10.042
2.788,-0.471,-0.824,10.042
2.791,-0.471,-0.824,10.042
2.794,-0.392,-0.824,10.042
2.797,-0.392,-0.824,10.042
2.8,-0.392,-0.824,10.042
2.803,-0.431,-0.824,10.003
2.806,-0.431,-0.824,10.003
2.809,-0.431,-0.824,10.003
2.812,-0.431,-0.824,10.003
2.816,-0.431,-0.824,10.003
2.819,-0.431,-0.824,10.003
2.822,-0.431,-0.824,10.003
2.825,-0.353,-0.745,9.964
2.828,-0.353,-0.745,9.964
2.831,-0.353,-0.745,9.964
2.834,-0.275,-0.863,10.042
2.837,-0.275,-0.863,10.042
2.84,-0.275,-0.863,10.042
2.843,-0.353,-0.824,9.924
2.846,-0.353,-0.824,9.924
2.849,-0.353,-0.824,9.924
2.852,-0.471,-0.863,10.042
2.855,-0.471,-0.863,10.042
2.859,-0.471,-0.863,10.042
2.862,-0.471,-0.863,10.042
2.865,-0.51,-0.863,10.042
2.868,-0.51,-0.863,10.042
2.871,-0.51,-0.863,10.042
2.874,-0.431,-0.863,10.003
2.877,-0.431,-0.863,10.003
2.88,-0.431,-0.863,10.003
2.883,-0.392,-0.863,10.003
2.886,-0.392,-0.863,10.003
2.889,-0.392,-0.863,10.003
2.892,-0.471,-0.863,10.042
2.895,-0.471,-0.863,10.042
2.898,-0.471,-0.863,10.042
2.902,-0.51,-0.863,10.042
2.905,-0.51,-0.863,10.042
2.908,-0.51,-0.863,10.042
2.911,-0.51,-0.863,10.042
2.914,-0.471,-0.785,10.042
2.917,-0.471,-0.785,10.042
2.92,-0.471,-0.785,10.042
2.923,-0.392,-0.785,10.042
2.926,-0.392,-0.785,10.042
2.929,-0.392,-0.785,10.042
2.932,-0.471,-0.824,10.081
2.935,-0.471,-0.824,10.081
2.939,-0.471,-0.824,10.081
2.942,-0.431,-0.824,10.003
2.946,-0.431,-0.824,10.003
2.949,-0.431,-0.824,10.003
2.952,-0.431,-0.824,10.003
2.955,-0.431,-0.785,10.003
2.958,-0.431,-0.785,10.003
2.961,-0.431,-0.785,10.003
2.964,-0.392,-0.785,9.964
2.967,-0.392,-0.785,9.964
2.97,-0.392,-0.785,9.964
2.972,-0.392,-0.785,10.003
2.975,-0.392,-0.785,10.003
2.979,-0.392,-0.785,10.003
2.982,-0.431,-0.824,10.003
2.985,-0.431,-0.824,10.003
2.989,-0.431,-0.824,10.003
2.992,-0.431,-0.824,10.003
2.995,-0.431,-0.863,10.042
2.998,-0.431,-0.863,10.042
3.001,-0.431,-0.863,10.042
3.004,-0.392,-0.824,10.042
3.007,-0.392,-0.824,10.042
3.01,-0.392,-0.824,10.042
3.013,-0.392,-0.863,10.003
3.016,-0.392,-0.863,10.003
3.019,-0.392,-0.863,10.003
3.022,-0.471,-0.863,10.042
3.025,-0.471,-0.863,10.042
3.028,-0.471,-0.863,10.042
3.032,-0.471,-0.863,10.042
3.035,-0.431,-0.902,10.081
3.038,-0.431,-0.902,10.081
3.041,-0.431,-0.902,10.081
3.044,-0.431,-0.824,10.003
3.047,-0.431,-0.824,10.003
3.05,-0.431,-0.824,10.003
3.053,-0.431,-0.863,10.042
3.056,-0.431,-0.863,10.042
3.059,-0.431,-0.863,10.042
3.062,-0.431,-0.863,10.042
3.065,-0.431,-0.863,10.042
3.068,-0.431,-0.863,10.042
3.072,-0.392,-0.785,9.964
3.075,-0.392,-0.785,9.964
3.078,-0.392,-0.785,9.964
3.081,-0.392,-0.785,9.964
3.084,-0.392,-0.745,10.042
3.087,-0.392,-0.745,10.042
3.09,-0.392,-0.745,10.042
3.093,-0.431,-0.785,9.964
3.096,-0.431,-0.785,9.964
3.099,-0.431,-0.785,9.964
3.102,-0.431,-0.824,9.964
3.105,-0.431,-0.824,9.964
3.108,-0.431,-0.824,9.964
3.111,-0.431,-0.824,9.964
3.115,-0.392,-0.824,10.042
3.118,-0.392,-0.824,10.042
3.121,-0.392,-0.824,10.042
3.124,-0.431,-0.824,10.003
3.127,-0.431,-0.824,10.003
3.13,-0.431,-0.824,10.003
3.133,-0.431,-0.824,10.003
3.136,-0.431,-0.824,10.003
3.139,-0.431,-0.824,10.003
3.142,-0.471,-0.863,10.003
3.145,-0.471,-0.863,10.003
3.148,-0.471,-0.863,10.003
3.151,-0.431,-0.863,10.003
3.154,-0.431,-0.863,10.003
3.158,-0.431,-0.863,10.003
3.161,-0.431,-0.863,10.003
3.164,-0.471,-0.824,10.042
3.167,-0.471,-0.824,10.042
3.17,-0.471,-0.824,10.042
3.173,-0.431,-0.902,10.042
3.176,-0.431,-0.902,10.042
3.179,-0.431,-0.902,10.042
3.182,-0.431,-0.863,10.042
3.185,-0.431,-0.863,10.042
3.188,-0.431,-0.863,10.042
3.191,-0.471,-0.863,10.042
3.194,-0.471,-0.863,10.042
3.197,-0.471,-0.863,10.042
3.201,-0.471,-0.863,10.042
3.204,-0.431,-0.902,10.042
3.207,-0.431,-0.902,10.042
3.21,-0.431,-0.902,10.042
3.213,-0.431,-0.824,10.081
3.216,-0.431,-0.824,10.081
3.219,-0.431,-0.824,10.081
3.222,-0.392,-0.863,9.964
3.225,-0.392,-0.863,9.964
3.228,-0.392,-0.863,9.964
3.231,-0.431,-0.785,10.003
3.234,-0.431,-0.785,10.003
3.237,-0.431,-0.785,10.003
3.24,-0.431,-0.785,10.003
3.244,-0.431,-0.824,10.003
3.247,-0.431,-0.824,10.003
3.25,-0.431,-0.824,10.003
3.253,-0.392,-0.824,10.003
3.256,-0.392,-0.824,10.003
3.259,-0.392,-0.824,10.003
3.262,-0.392,-0.824,9.964
3.265,-0.392,-0.824,9.964
3.268,-0.392,-0.824,9.964
3.271,-0.431,-0.863,10.003
3.274,-0.431,-0.863,10.003
3.277,-0.431,-0.863,10.003
3.28,-0.431,-0.863,10.003
3.283,-0.471,-0.824,10.042
3.287,-0.471,-0.824,10.042
3.29,-0.471,-0.824,10.042
3.293,-0.471,-0.863,10.042
3.296,-0.471,-0.863,10.042
3.299,-0.471,-0.863,10.042
3.302,-0.431,-0.863,10.042
3.305,-0.431,-0.863,10.042
3.308,-0.431,-0.863,10.042
3.311,-0.471,-0.863,10.042
3.314,-0.471,-0.863,10.042
3.317,-0.471,-0.863,10.042
3.32,-0.471,-0.863,10.042
3.323,-0.471,-0.863,10.042
3.326,-0.471,-0.863,10.042
3.33,-0.471,-0.863,10.042
3.333,-0.431,-0.785,10.003
3.336,-0.431,-0.785,10.003
3.339,-0.431,-0.785,10.003
3.342,-0.392,-0.863,10.003
3.345,-0.392,-0.863,10.003
3.348,-0.392,-0.863,10.003
3.351,-0.392,-0.785,9.964
3.354,-0.392,-0.785,9.964
3.357,-0.392,-0.785,9.964
3.36,-0.431,-0.824,9.964
3.363,-0.431,-0.824,9.964
3.366,-0.431,-0.824,9.964
3.369,-0.431,-0.824,9.964
3.373,-0.431,-0.824,10.003
3.376,-0.431,-0.824,10.003
3.379,-0.431,-0.824,10.003
3.382,-0.431,-0.785,10.003
3.385,-0.431,-0.785,10.003
3.388,-0.431,-0.785,10.003
3.391,-0.431,-0.785,10.042
3.394,-0.431,-0.785,10.042
3.397,-0.431,-0.785,10.042
3.4,-0.471,-0.824,10.003
3.403,-0.471,-0.824,10.003
3.406,-0.471,-0.824,10.003
3.409,-0.471,-0.824,10.003
3.412,-0.431,-0.863,10.042
3.416,-0.431,-0.863,10.042
3.419,-0.431,-0.863,10.042
3.422,-0.471,-0.824,10.003
3.425,-0.471,-0.824,10.003
3.428,-0.471,-0.824,10.003
3.431,-0.471,-0.863,10.042
3.434,-0.471,-0.863,10.042
3.437,-0.471,-0.863,10.042
3.44,-0.431,-0.863,10.042
3.443,-0.431,-0.863,10.042
3.446,-0.431,-0.863,10.042
3.449,-0.431,-0.863,10.042
3.452,-0.431,-0.863,10.003
3.456,-0.431,-0.863,10.003
3.459,-0.431,-0.863,10.003
3.462,-0.471,-0.785,10.003
3.465,-0.471,-0.785,10.003
3.468,-0.471,-0.785,10.003
3.471,-0.431,-0.863,10.042
3.474,-0.431,-0.863,10.042
3.477,-0.431,-0.863,10.042
3.48,-0.471,-0.863,10.042
3.483,-0.471,-0.863,10.042
3.486,-0.471,-0.863,10.042
3.489,-0.471,-0.863,10.042
3.492,-0.431,-0.824,10.042
3.495,-0.431,-0.824,10.042
3.499,-0.431,-0.824,10.042
3.502,-0.392,-0.824,10.042
3.505,-0.392,-0.824,10.042
3.508,-0.392,-0.824,10.042
3.511,-0.471,-0.824,10.042
3.514,-0.471,-0.824,10.042
3.517,-0.471,-0.824,10.042
3.52,-0.392,-0.863,9.964
3.523,-0.392,-0.863,9.964
3.526,-0.392,-0.863,9.964
3.529,-0.392,-0.863,9.964
3.532,-0.471,-0.824,10.081
3.535,-0.471,-0.824,10.081
3.538,-0.471,-0.824,10.081
3.542,-0.392,-0.824,10.042
3.545,-0.392,-0.824,10.042
3.548,-0.392,-0.824,10.042
3.551,-0.431,-0.902,10.081
3.554,-0.431,-0.902,10.081
3.557,-0.431,-0.902,10.081
3.56,-0.431,-0.902,10.042
3.563,-0.431,-0.902,10.042
3.566,-0.431,-0.902,10.042
3.569,-0.431,-0.902,10.042
3.572,-0.471,-0.863,10.003
3.575,-0.471,-0.863,10.003
3.578,-0.471,-0.863,10.003
3.581,-0.431,-0.824,10.081
3.585,-0.431,-0.824,10.081
3.588,-0.431,-0.824,10.081
3.591,-0.392,-0.824,10.003
3.594,-0.392,-0.824,10.003
3.597,-0.392,-0.824,10.003
3.6,-0.431,-0.824,10.042
3.603,-0.431,-0.824,10.042
3.606,-0.431,-0.824,10.042
3.609,-0.431,-0.902,10.003
3.612,-0.431,-0.902,10.003
3.615,-0.431,-0.902,10.003
3.618,-0.431,-0.902,10.003
3.621,-0.628,-0.824,10.12
3.624,-0.628,-0.824,10.12
3.628,-0.628,-0.824,10.12
3.631,-0.745,-0.824,10.199
3.634,-0.745,-0.824,10.199
3.637,-0.745,-0.824,10.199
3.64,-0.353,-0.863,10.003
3.643,-0.353,-0.863,10.003
3.646,-0.353,-0.863,10.003
3.649,-0.078,-0.863,9.885
3.652,-0.078,-0.863,9.885
3.655,-0.078,-0.863,9.885
3.658,-0.078,-0.863,9.885
3.661,-0.392,-0.863,9.964
3.664,-0.392,-0.863,9.964
3.667,-0.392,-0.863,9.964
3.671,-0.706,-0.863,10.042
3.674,-0.706,-0.863,10.042
3.677,-0.706,-0.863,10.042
3.68,-0.588,-0.785,10.042
3.683,-0.588,-0.785,10.042
3.686,-0.588,-0.785,10.042
3.689,-0.353,-0.785,10.003
3.692,-0.353,-0.785,10.003
3.695,-0.353,-0.785,10.003
3.698,-0.353,-0.785,10.003
3.701,-0.353,-0.863,9.964
3.704,-0.353,-0.863,9.964
3.707,-0.353,-0.863,9.964
3.71,-0.471,-0.863,10.081
3.714,-0.471,-0.863,10.081
3.717,-0.471,-0.863,10.081
3.72,-0.549,-0.902,10.081
3.723,-0.549,-0.902,10.081
3.726,-0.549,-0.902,10.081
3.729,-0.51,-0.863,10.042
3.732,-0.51,-0.863,10.042
3.735,-0.51,-0.863,10.042
3.738,-0.51,-0.863,10.042
3.741,-0.431,-0.785,10.042
3.744,-0.431,-0.785,10.042
3.747,-0.431,-0.785,10.042
3.75,-0.392,-0.863,10.042
3.753,-0.392,-0.863,10.042
3.757,-0.392,-0.863,10.042
3.76,-0.471,-0.824,10.003
3.763,-0.471,-0.824,10.003
3.766,-0.471,-0.824,10.003
3.769,-0.431,-0.824,10.042
3.772,-0.431,-0.824,10.042
3.775,-0.431,-0.824,10.042
3.778,-0.431,-0.824,10.042
3.781,-0.431,-0.824,10.003
3.784,-0.431,-0.824,10.003
3.787,-0.431,-0.824,10.003
3.79,-0.392,-0.824,9.964
3.793,-0.392,-0.824,9.964
3.796,-0.392,-0.824,9.964
3.8,-0.392,-0.824,10.003
3.803,-0.392,-0.824,10.003
3.806,-0.392,-0.824,10.003
3.809,-0.431,-0.824,10.042
3.812,-0.431,-0.824,10.042
3.815,-0.431,-0.824,10.042
3.818,-0.431,-0.824,10.042
3.821,-0.392,-0.785,10.003
3.824,-0.392,-0.785,10.003
3.827,-0.392,-0.785,10.003
3.83,-0.392,-0.824,10.081
3.833,-0.392,-0.824,10.081
3.836,-0.392,-0.824,10.081
3.84,-0.431,-0.824,9.964
3.843,-0.431,-0.824,9.964
3.846,-0.431,-0.824,9.964
3.849,-0.471,-0.824,10.003
3.852,-0.471,-0.824,10.003
3.855,-0.471,-0.824,10.003
3.858,-0.471,-0.824,10.003
3.861,-0.431,-0.902,10.042
3.864,-0.431,-0.902,10.042
3.867,-0.431,-0.902,10.042
3.87,-0.51,-0.902,10.081
3.873,-0.51,-0.902,10.081
3.876,-0.51,-0.902,10.081
3.879,-0.431,-0.824,10.003
3.883,-0.431,-0.824,10.003
3.886,-0.431,-0.824,10.003
3.889,-0.471,-0.902,10.042
3.892,-0.471,-0.902,10.042
3.895,-0.471,-0.902,10.042
3.898,-0.471,-0.902,10.042
3.901,-0.471,-0.824,10.042
3.904,-0.471,-0.824,10.042
3.907,-0.471,-0.824,10.042
3.91,-0.471,-0.863,10.081
3.913,-0.471,-0.863,10.081
3.916,-0.471,-0.863,10.081
3.919,-0.392,-0.824,10.003
3.922,-0.392,-0.824,10.003
3.926,-0.392,-0.824,10.003
3.929,-0.353,-0.824,10.003
3.932,-0.353,-0.824,10.003
3.935,-0.353,-0.824,10.003
3.938,-0.353,-0.824,10.003
3.941,-0.353,-0.824,9.964
3.944,-0.353,-0.824,9.964
3.947,-0.353,-0.824,9.964
3.95,-0.431,-0.824,10.003
3.953,-0.431,-0.824,10.003
3.956,-0.431,-0.824,10.003
3.959,-0.392,-0.785,10.003
3.962,-0.392,-0.785,10.003
3.965,-0.392,-0.785,10.003
3.969,-0.392,-0.824,10.042
3.972,-0.392,-0.824,10.042
3.975,-0.392,-0.824,10.042
3.978,-0.392,-0.824,10.042
3.981,-0.431,-0.824,10.042
3.984,-0.431,-0.824,10.042
3.987,-0.431,-0.824,10.042
3.99,-0.471,-0.824,10.003
3.993,-0.471,-0.824,10.003
3.996,-0.471,-0.824,10.003
3.999,-0.431,-0.902,10.042
4.002,-0.431,-0.902,10.042
4.005,-0.431,-0.902,10.042
4.008,-0.471,-0.863,10.042
4.012,-0.471,-0.863,10.042
4.015,-0.471,-0.863,10.042
4.018,-0.471,-0.863,10.081
4.021,-0.471,-0.863,10.081
4.024,-0.471,-0.863,10.081
4.027,-0.471,-0.863,10.081
4.03,-0.392,-0.824,10.003
4.033,-0.392,-0.824,10.003
4.036,-0.392,-0.824,10.003
4.039,-0.471,-0.785,10.042
4.042,-0.471,-0.785,10.042
4.045,-0.471,-0.785,10.042
4.048,-0.431,-0.863,10.003
4.051,-0.431,-0.863,10.003
4.055,-0.431,-0.863,10.003
4.058,-0.392,-0.863,9.964
4.061,-0.392,-0.863,9.964
4.064,-0.392,-0.863,9.964
4.067,-0.392,-0.863,9.964
4.07,-0.471,-0.785,10.042
4.073,-0.471,-0.785,10.042
4.076,-0.471,-0.785,10.042
4.079,-0.431,-0.785,10.003
4.082,-0.431,-0.785,10.003
4.085,-0.431,-0.785,10.003
4.088,-0.431,-0.785,9.964
4.091,-0.431,-0.785,9.964
4.094,-0.431,-0.785,9.964
4.098,-0.392,-0.824,10.003
4.101,-0.392,-0.824,10.003
4.104,-0.392,-0.824,10.003
4.107,-0.392,-0.824,10.003
4.11,-0.431,-0.785,9.964
4.113,-0.431,-0.785,9.964
4.116,-0.431,-0.785,9.964
4.119,-0.431,-0.863,10.081
4.122,-0.431,-0.863,10.081
4.125,-0.431,-0.863,10.081
4.128,-0.471,-0.824,10.042
4.131,-0.471,-0.824,10.042
4.134,-0.471,-0.824,10.042
4.137,-0.431,-0.863,10.042
4.141,-0.431,-0.863,10.042
4.144,-0.431,-0.863,10.042
4.147,-0.431,-0.863,10.042
4.15,-0.471,-0.863,10.081
4.153,-0.471,-0.863,10.081
4.156,-0.471,-0.863,10.081
4.159,-0.431,-0.824,10.003
4.162,-0.431,-0.824,10.003
4.165,-0.431,-0.824,10.003
4.168,-0.392,-0.863,10.042
4.171,-0.392,-0.863,10.042
4.174,-0.392,-0.863,10.042
4.177,-0.431,-0.824,10.081
4.18,-0.431,-0.824,10.081
4.184,-0.431,-0.824,10.081
4.187,-0.431,-0.824,10.081
4.19,-0.431,-0.824,10.003
4.193,-0.431,-0.824,10.003
4.196,-0.431,-0.824,10.003
4.199,-0.431,-0.824,10.003
4.202,-0.431,-0.824,10.003
4.205,-0.431,-0.824,10.003
4.208,-0.431,-0.785,10.003
4.211,-0.431,-0.785,10.003
4.214,-0.431,-0.785,10.003
4.217,-0.392,-0.824,10.003
4.22,-0.392,-0.824,10.003
4.224,-0.392,-0.824,10.003
4.227,-0.392,-0.824,10.003
4.23,-0.353,-0.824,10.003
4.233,-0.353,-0.824,10.003
4.236,-0.353,-0.824,10.003
4.239,-0.392,-0.785,10.003
4.242,-0.392,-0.785,10.003
4.245,-0.392,-0.785,10.003
4.248,-0.431,-0.785,10.042
4.251,-0.431,-0.785,10.042
4.254,-0.431,-0.785,10.042
4.257,-0.431,-0.863,10.081
4.26,-0.431,-0.863,10.081
4.263,-0.431,-0.863,10.081
4.267,-0.431,-0.863,10.081
4.27,-0.431,-0.863,10.042
4.273,-0.431,-0.863,10.042
4.276,-0.431,-0.863,10.042
4.279,-0.431,-0.863,10.12
4.282,-0.431,-0.863,10.12
4.285,-0.431,-0.863,10.12
4.288,-0.471,-0.824,10.003
4.291,-0.471,-0.824,10.003
4.294,-0.471,-0.824,10.003
4.297,-0.431,-0.863,10.042
4.3,-0.431,-0.863,10.042
4.303,-0.431,-0.863,10.042
4.306,-0.471,-0.863,10.081
4.31,-0.471,-0.863,10.081
4.313,-0.471,-0.863,10.081
4.316,-0.471,-0.863,10.081
4.319,-0.431,-0.824,10.042
4.322,-0.431,-0.824,10.042
4.325,-0.431,-0.824,10.042
4.328,-0.431,-0.824,10.042
4.331,-0.431,-0.824,10.042
4.334,-0.431,-0.824,10.042
4.337,-0.392,-0.824,10.042
4.34,-0.392,-0.824,10.042
4.343,-0.392,-0.824,10.042
4.346,-0.392,-0.824,10.003
4.349,-0.392,-0.824,10.003
4.353,-0.392,-0.824,10.003
4.356,-0.392,-0.824,10.003
4.359,-0.392,-0.824,10.042
4.362,-0.392,-0.824,10.042
4.365,-0.392,-0.824,10.042
4.368,-0.392,-0.824,10.042
4.371,-0.392,-0.824,10.042
4.374,-0.392,-0.824,10.042
4.377,-0.431,-0.785,10.003
4.38,-0.431,-0.785,10.003
4.383,-0.431,-0.785,10.003
4.386,-0.431,-0.824,10.003
4.389,-0.431,-0.824,10.003
4.392,-0.431,-0.824,10.003
4.396,-0.431,-0.824,10.003
4.399,-0.431,-0.863,10.042
4.402,-0.431,-0.863,10.042
4.405,-0.431,-0.863,10.042
4.408,-0.431,-0.863,10.081
4.411,-0.431,-0.863,10.081
4.414,-0.431,-0.863,10.081
4.417,-0.431,-0.863,10.081
4.42,-0.431,-0.863,10.081
4.423,-0.431,-0.863,10.081
4.426,-0.431,-0.863,10.081
4.429,-0.431,-0.863,10.081
4.432,-0.431,-0.863,10.081
4.435,-0.431,-0.863,10.081
4.439,-0.431,-0.863,10.081
4.442,-0.431,-0.863,10.081
4.445,-0.431,-0.863,10.081
4.448,-0.431,-0.824,10.042
4.451,-0.431,-0.824,10.042
4.454,-0.431,-0.824,10.042
4.457,-0.431,-0.785,10.042
4.46,-0.431,-0.785,10.042
4.463,-0.431,-0.785,10.042
4.466,-0.392,-0.824,10.003
4.469,-0.392,-0.824,10.003
4.472,-0.392,-0.824,10.003
4.475,-0.392,-0.824,10.003
4.478,-0.392,-0.785,10.042
4.482,-0.392,-0.785,10.042
4.485,-0.392,-0.785,10.042
4.488,-0.353,-0.824,10.003
4.491,-0.353,-0.824,10.003
4.494,-0.353,-0.824,10.003
4.497,-0.392,-0.824,9.964
4.5,-0.392,-0.824,9.964
4.503,-0.392,-0.824,9.964
4.506,-0.392,-0.863,9.964
4.509,-0.392,-0.863,9.964
4.512,-0.392,-0.863,9.964
4.515,-0.392,-0.863,9.964
4.518,-0.471,-0.824,10.042
4.521,-0.471,-0.824,10.042
4.525,-0.471,-0.824,10.042
4.528,-0.392,-0.863,10.12
4.531,-0.392,-0.863,10.12
4.534,-0.392,-0.863,10.12
4.537,-0.392,-0.863,10.042
4.54,-0.392,-0.863,10.042
4.543,-0.392,-0.863,10.042
4.546,-0.471,-0.824,10.003
4.549,-0.471,-0.824,10.003
4.552,-0.471,-0.824,10.003
4.555,-0.471,-0.824,10.003
4.558,-0.431,-0.863,10.042
4.561,-0.431,-0.863,10.042
4.564,-0.431,-0.863,10.042
4.568,-0.431,-0.902,10.081
4.571,-0.431,-0.902,10.081
4.574,-0.431,-0.902,10.081
4.577,-0.471,-0.785,10.042
4.58,-0.471,-0.785,10.042
4.583,-0.471,-0.785,10.042
4.586,-0.431,-0.824,10.042
4.589,-0.431,-0.824,10.042
4.592,-0.431,-0.824,10.042
4.595,-0.431,-0.824,10.042
4.598,-0.431,-0.824,10.042
4.601,-0.431,-0.824,10.042
4.604,-0.431,-0.824,10.042
4.608,-0.392,-0.824,10.003
4.611,-0.392,-0.824,10.003
4.614,-0.392,-0.824,10.003
4.617,-0.353,-0.824,9.964
4.62,-0.353,-0.824,9.964
4.623,-0.353,-0.824,9.964
4.626,-0.392,-0.824,10.003
4.629,-0.392,-0.824,10.003
4.632,-0.392,-0.824,10.003
4.635,-0.431,-0.824,10.003
4.638,-0.431,-0.824,10.003
4.641,-0.431,-0.824,10.003
4.644,-0.431,-0.824,10.003
4.647,-0.431,-0.863,10.042
4.651,-0.431,-0.863,10.042
4.654,-0.431,-0.863,10.042
4.657,-0.471,-0.824,10.042
4.66,-0.471,-0.824,10.042
4.663,-0.471,-0.824,10.042
4.666,-0.51,-0.785,10.081
4.669,-0.51,-0.785,10.081
4.672,-0.51,-0.785,10.081
4.676,-0.431,-0.902,10.042
4.679,-0.431,-0.902,10.042
4.682,-0.431,-0.902,10.042
4.685,-0.431,-0.902,10.042
4.688,-0.471,-0.863,10.003
4.691,-0.471,-0.863,10.003
4.695,-0.471,-0.863,10.003
4.698,-0.431,-0.863,10.042
4.701,-0.431,-0.863,10.042
4.704,-0.431,-0.863,10.042
4.707,-0.431,-0.863,10.042
4.71,-0.431,-0.863,10.042
4.713,-0.431,-0.863,10.042
4.716,-0.431,-0.863,10.042
4.719,-0.431,-0.863,10.042
4.722,-0.431,-0.863,10.042
4.725,-0.431,-0.863,10.042
4.728,-0.471,-0.824,10.003
4.731,-0.471,-0.824,10.003
4.734,-0.471,-0.824,10.003
4.738,-0.392,-0.785,10.003
4.741,-0.392,-0.785,10.003
4.744,-0.392,-0.785,10.003
4.747,-0.392,-0.785,9.924
4.75,-0.392,-0.785,9.924
4.753,-0.392,-0.785,9.924
4.756,-0.431,-0.785,10.003
4.759,-0.431,-0.785,10.003
4.762,-0.431,-0.785,10.003
4.765,-0.431,-0.785,10.003
4.768,-0.431,-0.785,10.003
4.771,-0.431,-0.785,10.003
4.774,-0.431,-0.785,10.003
4.777,-0.353,-0.785,10.042
4.781,-0.353,-0.785,10.042
4.784,-0.353,-0.785,10.042
4.787,-0.431,-0.785,10.081
4.79,-0.431,-0.785,10.081
4.793,-0.431,-0.785,10.081
4.796,-0.392,-0.863,10.042
4.799,-0.392,-0.863,10.042
4.802,-0.392,-0.863,10.042
4.805,-0.471,-0.824,10.042
4.808,-0.471,-0.824,10.042
4.811,-0.471,-0.824,10.042
4.814,-0.471,-0.824,10.042
4.817,-0.431,-0.824,10.081
4.82,-0.431,-0.824,10.081
4.824,-0.431,-0.824,10.081
4.827,-0.431,-0.785,10.042
4.83,-0.431,-0.785,10.042
4.833,-0.431,-0.785,10.042
4.836,-0.471,-0.902,10.081
4.839,-0.471,-0.902,10.081
4.842,-0.471,-0.902,10.081
4.845,-0.431,-0.824,10.042
4.848,-0.431,-0.824,10.042
4.851,-0.431,-0.824,10.042
4.854,-0.431,-0.824,10.042
4.857,-0.471,-0.824,10.003
4.86,-0.471,-0.824,10.003
4.864,-0.471,-0.824,10.003
4.867,-0.431,-0.824,10.042
4.87,-0.431,-0.824,10.042
4.873,-0.431,-0.824,10.042
4.876,-0.431,-0.824,10.003
4.879,-0.431,-0.824,10.003
4.882,-0.431,-0.824,10.003
4.885,-0.392,-0.785,9.964
4.888,-0.392,-0.785,9.964
4.891,-0.392,-0.785,9.964
